id,Артикул,Название,missing_fields,Ссылка
121577,1207-4233,А ФИГУРА/A75 AIR Малыш сидячий,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/a-figura-a75-malysh-sidiachii-1207-4233/
121853,1207-4293,Ф ФИГУРА Сова,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/f-figura-11-sova-1207-4293/
122427,1207-4321,Ф ФИГУРА Дракон оранжевый,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/f-figura-11-drakon-oranzhevyi-1207-4321/
122430,1207-4319,Ф ФИГУРА Дракон,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/f-figura-11-drakon-1207-4319/
122431,1207-4320,Ф ФИГУРА Дракон фиолетовый,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/f-figura-11-drakon-fioletovyi-1207-4320/
122452,1207-4322,Ф ФИГУРА Дракон зеленый,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/f-figura-11-drakon-zelenyi-1207-4322/
123037,1207-4439,Ф ФИГУРА Попугай,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/f-figura-11-popugai-1207-4439/
123327,1207-4504,А ФИГУРА/P40 HWN Скелет Переливы,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/a-figura-p40-hwn-skelet-perelivy-1207-4504/
123804,1207-4561,А ФИГУРА/P35 Санта улыбающийся сатин,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/a-figura-p35-santa-ulybaiushchiisia-satin-1207-456/
123811,1207-4564,А ФИГУРА/P35 Робот влюбленный сердца Red,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/a-figura-p35-robot-vliublennyi-serdtsa-red-1207-45/
123828,1207-4572,ПД ФИГУРА AIR Елка новогодняя,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/pd-figura-air-elka-novogodniaia-1207-4572/
